Id,Follicular,Luteal,Menstrual,Ovulatory,delta_fol_minus_men
1503960366,11435.5,13121.411764705883,7965.666666666667,12391.333333333334,3469.833333333333
1624580081,4519.571428571428,9333.142857142857,4402.142857142857,6213.333333333333,117.42857142857156
1644430081,7160.375,8053.285714285715,5144,7580,2016.375
1844505072,3069.625,2946.8,1788.4,760.3333333333334,1281.225
1927972279,1327.875,637.6,78.6,2606.6666666666665,1249.275
2022484408,11952.75,11881.4,11053.6,7793,899.1499999999996
2026352035,5921.625,4801.733333333334,5690.2,8241,231.42500000000018
2320127002,4748.5,5560.6,1902.8,5104,2845.7
2347167796,10577.375,6972.833333333333,10113,11595,464.375
2873212765,7141.625,7415.666666666667,8111.625,7738.333333333333,-970
3372868164,6736.125,6595.75,7412.8,6632.333333333333,-676.6750000000002
3977333714,10786.875,11802.42857142857,10189.2,9020.666666666666,597.6749999999993
4020332650,0,4548.266666666666,412,0,-412
4057192912,3319.3333333333335,NA,5394,NA,-2074.6666666666665
4319703577,6770,6549.526315789473,10504,7753,-3734
4388161847,11249.5,9253.333333333334,10786.4,13377.333333333334,463.10000000000036
4445114986,6075.5,4364.133333333333,4678,3745.6666666666665,1397.5
4558609924,7936.133333333333,9261.6,6167.625,7849.333333333333,1768.5083333333332
4702921684,7333,8911.866666666667,9432.6,8743,-2099.6000000000004
5553957443,8632.25,9003.764705882353,8349.4,3121,282.85000000000036
5577150313,4220,9896.733333333334,7238,11650.666666666666,-3018
6117666160,3215.1428571428573,8656.846153846154,5328.8,11873,-2113.657142857143
6290855005,6545.666666666667,4619.444444444444,6223,4199.666666666667,322.66666666666697
6775888955,3541.125,1166.3,3545.2,2598,-4.074999999999818
6962181067,9368.125,10246.2,9848.8,8585.666666666666,-480.6749999999993
7007744171,9182.777777777777,14475.111111111111,7382.4,14858.666666666666,1800.3777777777777
7086361926,10516,8990.777777777777,11504.4,6068.333333333333,-988.3999999999996
8053475328,14975.375,13472.533333333333,17063.8,16817.333333333332,-2088.4249999999993
8253242879,4802.5,7154.9,6480.4,NA,-1677.8999999999996
8378563200,7136.625,9801.166666666666,7621,9572.833333333334,-484.375
8583815059,7813.8,6777.8,9682.6,4804.166666666667,-1868.8000000000002
8792009665,758.6,2781.818181818182,3065.6,81.33333333333333,-2307
8877689391,17827.125,15351.466666666667,15805.2,15108.666666666666,2021.9249999999993
